追风筝的人,https://book.douban.com/subject/1770782/,8.9,314181人评价,为你，千千万万遍
小王子,https://book.douban.com/subject/1084336/,9.0,242832人评价,献给长成了大人的孩子们
围城,https://book.douban.com/subject/1008145/,8.9,199653人评价,对于“人艰不拆”四个字最彻底的违抗
解忧杂货店,https://book.douban.com/subject/25862578/,8.6,283301人评价,一碗精心熬制的东野牌鸡汤，拒绝很难
活着,https://book.douban.com/subject/1082154/,9.1,146776人评价,活着本身就是人生最大的意义
白夜行,https://book.douban.com/subject/3259440/,9.1,212408人评价,暗夜独行的残破灵魂，爱与恶本就难分难舍
挪威的森林,https://book.douban.com/subject/1046265/,8.0,195159人评价,村上之发轫，多少人的青春启蒙
嫌疑人X的献身,https://book.douban.com/subject/3211779/,8.9,164242人评价,数学好是一种极致的浪漫
三体,https://book.douban.com/subject/2567698/,8.8,168979人评价,你我不过都是虫子
不能承受的生命之轻,https://book.douban.com/subject/1017143/,8.5,140359人评价,朝向媚俗的一次伟大的进军
红楼梦,https://book.douban.com/subject/1007305/,9.6,130983人评价,谁解其中味？
梦里花落知多少,https://book.douban.com/subject/1016300/,7.1,150036人评价,只是青春留下的余烬
达·芬奇密码,https://book.douban.com/subject/1040771/,8.2,131983人评价,一切畅销的因素都有了
看见,https://book.douban.com/subject/20427187/,8.8,131109人评价,在这里看见中国
百年孤独,https://book.douban.com/subject/6082808/,9.2,131471人评价,尼采所谓的永劫复归，一场无始无终的梦魇
1988：我想和这个世界谈谈,https://book.douban.com/subject/5275059/,7.9,124097人评价,车手韩寒的公路小说
何以笙箫默,https://book.douban.com/subject/1461903/,7.8,122192人评价,倒追有风险，入行需谨慎
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,9.0,108314人评价,中国当代城乡生活全景
简爱（英文全本）,https://book.douban.com/subject/1141406/,8.5,112586人评价,灰姑娘在十九世纪
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,9.0,91073人评价,羽加迪姆勒维奥萨！
